protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000243_000001_000006_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425412
Obelisk_000243_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425427
Obelisk_000243_000001_000007_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425427
Obelisk_000243_000001_000008_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425428
Obelisk_000243_000001_000008_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425428
Obelisk_000243_000001_000009_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425429
Obelisk_000243_000001_000009_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425429
Obelisk_000243_000001_000010_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425451
Obelisk_000243_000001_000010_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425451
Obelisk_000243_000001_000011_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425459
Obelisk_000243_000001_000011_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425459
Obelisk_000243_000001_000012_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425443
Obelisk_000243_000001_000012_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425443
Obelisk_000243_000001_000013_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425458
Obelisk_000243_000001_000013_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425458
Obelisk_000243_000001_000014_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425460
Obelisk_000243_000001_000014_2	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425460
Obelisk_000243_000001_000015_1	OBELISK	32644	NA	NA	.	Obelisk_000243_000001_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Macaca mulatta | notes=.	SRR6425461
